Date,Open,High,Low,Close,Adj Close,Volume
2013-04-04,223.500000,225.875000,220.750000,222.550003,190.965378,3264100
2013-04-05,220.750000,231.500000,219.375000,227.300003,195.041260,3615068
2013-04-08,225.750000,228.000000,214.774994,224.399994,192.552811,12271312
2013-04-09,203.500000,209.000000,195.125000,196.850006,168.912750,14171642
2013-04-10,197.550003,202.399994,197.550003,201.125000,172.581055,4875874
2013-04-11,203.699997,204.000000,199.500000,201.475006,172.881393,2561134
2013-04-12,194.949997,195.000000,189.524994,191.899994,164.665268,7752650
2013-04-15,191.949997,196.324997,188.149994,189.550003,162.648788,3153160
2013-04-16,189.250000,191.550003,188.350006,190.675003,163.614151,1374018
2013-04-17,192.500000,192.725006,185.600006,187.274994,160.696655,2272992
2013-04-18,186.625000,188.949997,181.149994,184.524994,158.336914,5092744
2013-04-22,184.524994,184.524994,163.750000,169.699997,145.615921,17899166
2013-04-23,171.125000,173.949997,170.050003,171.375000,147.053192,3470616
2013-04-25,171.375000,172.475006,166.350006,167.750000,143.942688,4848506
2013-04-26,168.100006,169.500000,163.875000,165.100006,141.668777,2959910
2013-04-29,165.500000,171.449997,163.600006,171.000000,146.731400,3458770
2013-04-30,172.074997,175.000000,169.625000,174.175003,149.455826,3069378
2013-05-02,174.175003,177.750000,171.725006,176.125000,151.129074,3095622
2013-05-03,175.324997,178.925003,174.600006,177.625000,152.416199,2544250
2013-05-06,178.449997,180.725006,176.850006,178.675003,153.317169,2296392
2013-05-07,179.000000,180.000000,174.524994,175.399994,150.506958,4679608
2013-05-08,176.000000,177.199997,173.625000,175.524994,150.614227,2101788
2013-05-09,176.199997,178.500000,176.000000,177.399994,152.223129,2523562
2013-05-10,178.274994,178.574997,176.300003,177.500000,152.308960,3013842
2013-05-13,177.500000,177.800003,173.100006,173.975006,149.284210,2680174
2013-05-14,174.000000,175.250000,172.300003,173.824997,149.155472,1044786
2013-05-15,173.625000,175.750000,170.750000,173.074997,148.511932,3076190
2013-05-16,173.250000,173.675003,171.274994,173.225006,148.640656,3844030
2013-05-17,173.000000,174.699997,169.300003,172.000000,147.589523,2195544
2013-05-20,170.625000,170.925003,167.074997,168.975006,144.993820,9185736
2013-05-21,169.024994,171.875000,168.024994,169.449997,145.401428,3034634
2013-05-22,169.699997,171.800003,169.550003,171.024994,146.752838,2883316
2013-05-23,170.524994,171.274994,165.899994,168.550003,144.629135,4311706
2013-05-24,169.274994,171.199997,166.399994,168.100006,144.242981,1339700
2013-05-27,168.500000,171.000000,166.500000,170.125000,145.980621,2465672
2013-05-28,169.350006,171.725006,168.000000,170.050003,145.916245,2652268
2013-05-29,169.500000,172.149994,168.024994,169.675003,145.594467,3424816
2013-05-30,168.774994,171.149994,167.250000,168.050003,144.200104,2340426
2013-05-31,168.875000,169.925003,157.425003,163.824997,140.574707,5448382
2013-06-03,165.050003,167.000000,161.550003,162.475006,139.416290,2947862
2013-06-04,163.175003,166.925003,163.175003,165.449997,141.969086,1919232
2013-06-05,166.000000,166.350006,162.024994,162.500000,139.437744,2013340
2013-06-06,162.000000,165.625000,161.550003,165.000000,141.582962,2719572
2013-06-07,164.000000,169.500000,164.000000,167.449997,143.685242,1634318
2013-06-10,168.500000,172.449997,168.399994,171.625000,147.267715,2088788
2013-06-11,172.050003,173.500000,159.949997,172.524994,148.039978,4661192
2013-06-12,172.875000,173.000000,170.500000,172.175003,147.739655,2226068
2013-06-13,170.000000,170.500000,166.000000,170.000000,145.873367,1358164
2013-06-14,165.125000,171.399994,165.125000,168.774994,144.822220,2419426
2013-06-17,168.800003,170.000000,166.000000,169.024994,145.036728,1077782
2013-06-18,169.050003,171.000000,168.600006,170.600006,146.388214,880974
2013-06-19,171.000000,172.350006,168.750000,171.750000,147.374954,1884702
2013-06-20,172.000000,174.699997,170.699997,173.750000,149.091156,8009972
2013-06-21,172.949997,175.500000,172.449997,174.199997,149.477295,7287844
2013-06-24,174.000000,174.949997,165.475006,173.274994,148.683533,2601232
2013-06-25,173.000000,173.000000,168.000000,171.875000,147.482224,2747956
2013-06-26,171.649994,174.699997,170.000000,174.050003,149.348572,2478812
2013-06-27,174.000000,175.850006,171.500000,173.550003,153.324142,3801216
2013-06-28,175.949997,176.000000,170.500000,174.500000,154.163406,3810748
2013-07-01,174.500000,176.000000,172.750000,175.625000,155.157288,1668544
2013-07-02,176.000000,177.350006,174.574997,176.475006,155.908249,3749310
2013-07-03,176.000000,176.949997,170.750000,171.675003,151.667648,1945904
2013-07-04,173.000000,175.449997,172.500000,174.824997,154.450531,2134834
2013-07-05,175.574997,175.949997,174.000000,175.475006,155.024796,3217056
2013-07-08,173.125000,178.850006,173.125000,177.750000,157.034637,3174032
2013-07-09,177.600006,180.500000,177.500000,180.074997,159.088699,2291406
2013-07-10,180.000000,182.675003,180.000000,182.425003,161.164825,3238376
2013-07-11,183.425003,184.399994,181.300003,182.000000,160.789337,2494096
2013-07-12,185.000000,190.000000,183.875000,187.800003,165.913406,4155226
2013-07-15,187.449997,191.699997,187.449997,190.949997,168.696289,2400390
2013-07-16,187.800003,192.475006,185.500000,187.699997,165.825058,2282040
2013-07-17,188.000000,195.175003,187.574997,193.550003,170.993286,2650244
2013-07-18,193.100006,197.000000,191.300003,192.925003,170.441101,2213632
2013-07-19,195.000000,196.500000,193.524994,195.699997,172.892715,2554986
2013-07-22,195.500000,197.250000,192.899994,196.475006,173.577423,2007410
2013-07-23,196.375000,198.750000,190.925003,192.100006,169.712280,2819668
