Date,Open,High,Low,Close,Adj Close,Volume
2013-04-04,387.450012,388.299988,369.649994,372.750000,330.662018,3285122
2013-04-05,371.125000,382.399994,371.125000,378.475006,335.740631,2671716
2013-04-08,378.475006,383.500000,370.549988,372.674988,330.595459,1505430
2013-04-09,375.625000,377.399994,369.299988,370.250000,328.444275,2253782
2013-04-10,371.000000,385.875000,368.250000,382.500000,339.311157,1898240
2013-04-11,384.899994,396.850006,383.500000,395.350006,350.710175,2612044
2013-04-12,379.500000,390.649994,379.375000,388.049988,344.234406,4798608
2013-04-15,387.500000,392.000000,381.625000,382.475006,339.288910,4912316
2013-04-16,379.950012,385.225006,378.850006,381.399994,338.335327,3669770
2013-04-17,402.600006,405.000000,372.524994,375.649994,333.234497,14111174
2013-04-18,378.399994,384.000000,365.325012,368.125000,326.559235,4782794
2013-04-22,368.125000,372.000000,358.125000,360.575012,321.609009,5820500
2013-04-23,362.399994,368.875000,360.799988,366.075012,326.514648,4459884
2013-04-25,366.075012,367.500000,357.174988,359.524994,320.672424,3991128
2013-04-26,358.649994,358.649994,338.825012,342.125000,305.152893,7329630
2013-04-29,341.524994,351.424988,336.475006,350.399994,312.533569,3670488
2013-04-30,349.625000,362.200012,349.625000,360.700012,321.720520,3693488
2013-05-02,360.700012,375.600006,360.700012,367.875000,328.120117,6741812
2013-05-03,370.500000,378.350006,370.000000,375.225006,334.675812,4791040
2013-05-06,376.500000,384.500000,374.000000,375.000000,334.475098,3423508
2013-05-07,377.500000,380.000000,371.700012,376.750000,336.036041,3552282
2013-05-08,377.500000,379.700012,374.625000,375.450012,334.876556,2258176
2013-05-09,377.250000,391.799988,376.500000,385.075012,343.461365,4364514
2013-05-10,386.750000,390.450012,385.500000,387.450012,345.579742,2928598
2013-05-13,388.250000,388.350006,376.924988,379.200012,338.221283,1870518
2013-05-14,381.000000,382.250000,368.049988,372.549988,332.289886,2891938
2013-05-15,373.024994,377.500000,369.500000,372.774994,332.490601,3317168
2013-05-16,373.899994,374.575012,367.500000,369.450012,329.524933,1748252
2013-05-17,369.700012,374.700012,358.325012,359.975006,321.073792,3201794
2013-05-20,361.049988,367.450012,360.125000,363.899994,324.574677,1632742
2013-05-21,366.000000,371.725006,365.149994,368.325012,328.521515,2111190
2013-05-22,369.500000,376.500000,369.000000,371.825012,331.643280,2173788
2013-05-23,374.000000,375.475006,365.500000,368.424988,328.610718,2410504
2013-05-24,369.149994,373.975006,365.500000,368.774994,328.922913,1455226
2013-05-27,368.125000,374.700012,366.075012,370.850006,330.773651,1288452
2013-05-28,372.875000,373.500000,368.100006,372.424988,332.178375,1450574
2013-05-29,373.750000,379.899994,372.325012,373.750000,333.360291,2135066
2013-05-30,372.975006,375.649994,367.649994,371.000000,330.907410,2138684
2013-05-31,373.000000,375.700012,370.024994,372.424988,332.178375,2525624
2013-06-03,375.850006,375.850006,367.549988,371.075012,330.974243,1424494
2013-06-04,373.000000,373.000000,365.750000,367.799988,328.053162,974164
2013-06-05,369.424988,369.424988,360.600006,363.399994,324.128693,919602
2013-06-06,361.500000,374.750000,360.500000,373.825012,333.427155,1691072
2013-06-07,370.500000,376.950012,370.500000,372.100006,331.888519,1856680
2013-06-10,374.500000,378.225006,372.625000,376.725006,336.013763,3711146
2013-06-11,378.100006,386.350006,375.000000,377.850006,337.017151,3181500
2013-06-12,376.950012,384.850006,376.250000,381.825012,340.562561,2245040
2013-06-13,382.450012,383.375000,376.375000,378.774994,337.842224,3195872
2013-06-14,382.399994,383.225006,374.524994,381.850006,340.584930,1916404
2013-06-17,381.000000,389.450012,378.274994,388.149994,346.204071,2124370
2013-06-18,388.350006,390.799988,385.725006,389.899994,347.764984,1982550
2013-06-19,390.000000,391.375000,388.049988,389.875000,347.742645,2015196
2013-06-20,388.500000,388.500000,379.250000,379.924988,338.867889,1576210
2013-06-21,380.000000,383.200012,375.000000,379.375000,338.377350,1498196
2013-06-24,380.500000,383.649994,377.174988,380.375000,339.269226,1732330
2013-06-25,379.000000,383.500000,372.500000,375.524994,334.943420,1711298
2013-06-26,376.500000,386.000000,372.500000,383.524994,342.078888,1756472
2013-06-27,387.475006,400.000000,386.299988,397.700012,354.722015,3848470
2013-06-28,400.000000,400.000000,384.950012,388.000000,346.070251,3284160
2013-07-01,389.950012,389.950012,377.899994,379.200012,338.221283,1371284
2013-07-02,381.000000,386.350006,380.000000,383.049988,341.655243,1231948
